No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"rock paper scissors",null,"301,000","$0.66","1","_"
2,"rps game online",null,"30","$0.00","1","_"
3,"play rock paper scissors",null,"1,000","$0.00","1","_"
4,"rock paper scissors book",null,"33,100","$0.35","30","_"
5,"rock paper scissors game",null,"33,100","$1.08","1","_"
6,"rock paper scissors online",null,"18,100","$1.00","1","_"
7,"rock paper scissors ai",null,"14,800","$0.24","1","_"
8,"rock paper scissors infinite",null,"9,900","$0.45","1","_"
9,"rock paper scissors and shoot",null,"8,100","$0.00","1","_"
10,"how to win rock paper scissors",null,"3,600","$0.03","1","_"
11,"rpg game online",null,"2,900","$1.71","28","_"
12,"rpg game online browser",null,"880","$1.51","32","_"
13,"rts game online",null,"880","$1.16","17","_"
14,"rpsgame.org",null,"210","$0.00","1","_"
15,"rock scissors paper game theory",null,"210","$0.00","1","_"
16,"rock paper scissors or paper rock scissors",null,"170","$0.00","1","_"
17,"rock paper scissors vs ai",null,"110","$0.00","1","_"
18,"rock paper scissors vs anything",null,"110","$0.00","1","_"
19,"rpg versus",null,"90","$0.00","1","_"
20,"rock paper or scissors generator",null,"70","$0.00","1","_"
21,"rock paper scissors and what else",null,"50","$0.00","1","_"
22,"rock paper scissors vs computer",null,"50","$0.00","1","_"
23,"rock paper scissors and more",null,"50","$0.00","1","_"
24,"rock paper scissors or rock paper scissors shoot",null,"30","$0.00","1","_"
25,"rock paper scissors or stone paper scissors",null,"30","$0.00","1","_"
26,"different types of rock paper scissors",null,"30","$0.00","1","_"
27,"rock paper scissors game online free",null,"30","$0.00","1","_"
28,"rock paper scissors like games",null,"20","$0.00","1","_"
29,"rock paper scissors vs friend",null,"20","$0.00","1","_"
30,"rock paper scissors vs everything",null,"20","$0.00","1","_"
31,"rock paper or scissors persona 3 reload",null,"20","$0.00","1","_"
32,"rock paper scissors game online with friends",null,"20","$0.00","1","_"
33,"different ways to play rock paper scissors",null,"20","$0.00","1","_"
34,"rock paper scissors and anything",null,"10","$0.00","4","_"
35,"rock paper scissors vs paper scissors rock",null,"10","$0.00","1","_"
36,"rock paper scissors or kiss",null,"10","$0.00","1","_"
37,"rock paper scissors vs roshambo",null,"10","$0.00","1","_"
38,"duel game review",null,"10","$0.00","25","_"
39,"rock paper scissors game online with ai",null,"10","$0.00","1","_"
40,"rock paper scissors game online infinite",null,"10","$0.00","1","_"
41,"which is best rock paper or scissors",null,"10","$0.00","1","_"
42,"play rock paper scissors against computer",null,"10","$0.00","1","_"
43,"rock paper scissors or roshambo",null,"0","$0.00","1","_"
44,"rock paper scissors vs ro sham bo",null,"0","$0.00","1","_"
45,"rock paper scissors vs bot",null,"0","$0.00","1","_"
46,"rock paper scissors vs his and hers",null,"0","$0.00","1","_"
47,"rock paper scissors vs online",null,"0","$0.00","1","_"
48,"rock paper scissors vs paper scissors stone",null,"0","$0.00","1","_"
49,"rock paper scissors vs russian roulette",null,"0","$0.00","1","_"
50,"rock paper scissors as a group",null,"0","$0.00","1","_"
51,"rock paper scissors vs rochambeau",null,"0","$0.00","1","_"
52,"rock paper scissors and beautiful ugly",null,"0","$0.00","1","_"
53,"rock paper scissors vs beautiful ugly",null,"0","$0.00","1","_"
54,"rock paper scissors or shoot",null,"0","$0.00","1","_"
55,"rock paper scissors or gun",null,"0","$0.00","1","_"
56,"rock paper scissors vs paperlike",null,"0","$0.00","1","_"
57,"rock paper scissors or",null,"0","$0.00","1","_"
58,"rock paper scissors and pencil",null,"0","$0.00","1","_"
59,"rock paper scissors and spock",null,"0","$0.00","1","_"
60,"rock paper scissors or rochambeau",null,"0","$0.00","1","_"
61,"rock paper scissors vs girls",null,"0","$0.00","1","_"
62,"rock paper scissors and dynamite",null,"0","$0.00","1","_"
63,"rock paper scissors versus",null,"0","$0.00","1","_"
64,"rock paper scissors game online 3 players",null,"0","$0.00","1","_"
65,"rock paper scissors game online unblocked",null,"0","$0.00","1","_"
66,"rps best games",null,"0","$0.00","1","_"
67,"rock paper scissors game online 2 player",null,"0","$0.00","1","_"
68,"rock paper scissors game online multiplayer",null,"0","$0.00","1","_"
69,"rps to play",null,"0","$0.00","1","_"
70,"rock paper scissors game online anything",null,"0","$0.00","1","_"
71,"how to play rock paper scissors and win every time",null,"0","$0.00","1","_"
72,"how to play rock paper scissors like a pro",null,"0","$0.00","1","_"
73,"play rock paper scissors and",null,"0","$0.00","1","_"
74,"how to play rock paper scissors and win",null,"0","$0.00","1","_"
75,"play rock paper scissors against me",null,"0","$0.00","1","_"
76,"play rock paper scissors and win redeem code",null,"0","$0.00","1","_"
